125390,4.548663054,5.222206461,1.3,2.637909811,93,3.05621095,23,4.92,-1.7,28,4,16.4,Green
9962,4.149381712,5.033435819,3.5,2.045049013,56,2.670830087,29,2.97,-1.5,28,11,9.21,
11732,4.54537541,4.863066967,3.1,1.962369336,122,3.186981749,173,3.01,-0.7,28.3,16,14.29,
5718,4.23115548,4.842309623,2.7,1.768786047,82,2.843407209,128,2.84,-4.7,25.4,22,12.63,
3901,4.235869941,4.906141021,3.7,1.469674773,53,2.786019886,117,3.08,-9.8,21.4,15,18.71,
16005,4.396381573,4.862679867,4.2,1.875234946,115,2.847190015,130,2.85,-7.7,25.9,21,11.97,
9011,4.069217292,4.86813874,3.1,1.604009932,62,2.700296916,66,2.94,-9.9,24.6,11,12.54,
7224,4.133975538,4.835164027,3.5,1.635081436,81,2.745176323,110,2.49,-13.3,23.7,17,12.43,
36405,4.581566482,5.17428664,3.6,2.591665522,64,2.998564458,23,3.08,5.8,27.5,7,8.73,
29191,4.998401115,4.984653308,3,2.758184938,167,3.345342358,117,3.16,4.1,28.3,10,14.98,
10975,4.794855543,4.998499093,2.5,2.713540942,108,3.246914457,103,3.51,5.9,28.2,7,14.03,
12115,4.569549231,4.897835942,2.6,2.578581911,120,3.087501023,127,2.17,2.8,28.3,6,14.8,
6165,4.627324883,4.912832935,3.5,2.128431581,90,2.986565731,94,2.5,12.5,29,5,15.03,
6461,4.393724329,4.867620672,2.9,2.264628958,103,3.060508976,114,2.07,6.2,28.8,9,14.53,
14237,4.851677332,4.910875092,3.3,2.486798729,146,3.333878332,154,3.13,0.8,28.7,15,17.57,
14754,4.73448139,4.827814972,3.2,2.326479236,141,3.258088681,164,2.61,1.4,29.8,9,13.59,
13603,4.661143319,4.899295093,2.4,2.50552982,128,3.059979717,116,2.59,3.7,29.3,9,11.96,
7833,4.59937122,4.87108817,2.7,2.237845227,125,3.104152384,141,2.75,4.3,28,7,11.81,
24335,5.032103062,4.995152377,2.3,3.068107904,154,3.506709279,146,2.53,15,28.7,7,18.13,
5413,4.327116479,4.883547879,2.6,1.865281685,78,3.006688481,116,2.32,12.4,28.1,9,13.52,
2446,3.725088796,4.915019727,2.3,1.492760389,20,2.438542349,24,2.53,19.4,29.7,5,10.57,
11142,4.373036569,4.937317248,2.6,1.904336792,65,2.862882393,43,2.67,8.7,27.9,7,16.61,
41203,4.668542644,4.920999383,3.3,2.269396183,126,3.198624101,206,2.65,5.8,24.6,6,14.03,
4864,4.224541868,4.920639788,3.1,2.061188505,72,3.028823298,98,2.48,4.4,22.7,10,16.38,
8332,4.365951048,4.937447677,3.3,1.77815125,81,3.029728641,151,2.35,9.9,20.8,11,11.88,
698,3.230147365,5.072319762,2.9,0.918030337,7,2.422031431,81,2.66,-1.9,16.3,6,9.8,
32993,4.411521558,4.894105512,3.2,1.859618579,95,2.97874186,111,2.8,1,27.5,9,11.62,
7263,3.94048162,4.866925018,3,1.4827307,49,2.80417352,104,2.37,-8.2,20.6,18,14.28,
1182,3.472310228,4.958707191,2.2,1.055760465,12,2.347076196,52,2.86,-7.2,16.5,17,11.93,
725,3.573971041,4.924010354,3.7,1.508664363,19,2.256067983,27,2.99,-6.8,24.5,15,21.05,
4044,4.13347855,4.899940819,2.1,1.621280168,54,2.936548927,107,2.69,-11.3,25.7,8,14.88,
Xinjiang,,,,,,,,,,,,,
